"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MRPL40",0.0623168496315548,5.25828673147453,2.97212943954928,0.00473054350082993,0.418018717592144,-2.31268925484243
"HSD17B13",0.1532596211464,5.21915675866195,2.9718984464173,0.00473351275102895,0.418018717592144,-2.31133599837686
"PACS1",-0.0335451457558478,6.27857388325231,-2.97130650174995,0.00474112973129029,0.418018717592144,-2.36412339058698
"OR7E47P",0.194481213134367,2.52714172214144,2.970030574972,0.00475758700254073,0.418018717592144,-2.14467796120411
"C9orf24",0.190508662310654,5.97349512005006,2.96969832138187,0.00476188126328717,0.418018717592144,-2.35403039411368
"C14orf37",0.114397978712343,1.48354519239407,2.96869042370767,0.00477493017093826,0.418018717592144,-2.10008593300156
"TP53I3",0.037274494378994,6.23383485892806,2.96536039636063,0.00481828101116501,0.418018717592144,-2.38191257474356
"DNAH11",0.12357938733486,4.80588721226221,2.96474919514295,0.00482627758702673,0.418018717592144,-2.30239295083002
"NOS3",0.0798453915239826,3.466426720034,2.96207908125436,0.00486135740449956,0.418018717592144,-2.21878774580622
"MORN3",0.119058209151825,3.04085003009874,2.96198597451792,0.00486258492578632,0.418018717592144,-2.19171718298455
"CRIP3",0.132137966697784,-1.14410214963713,2.9610099814682,0.00487546988831731,0.418018717592144,-2.11088037443649
"IFT57",0.104106205128878,5.54264163465792,2.95675285172651,0.0049320461552283,0.418018717592144,-2.36854770885721
"TEX26",0.221102014092322,2.19389187814526,2.95394082194782,0.00496975322719524,0.418018717592144,-2.1643172542855
"CCDC121",0.0997582854126786,1.40101269919874,2.95328138153849,0.00497863470231138,0.418018717592144,-2.13163588658059
"FAM166A",0.0826296270735478,5.99829586204382,2.95170414068467,0.00499993748565761,0.418018717592144,-2.404750573965
"LRRC23",0.154295628947943,6.20071067185042,2.94836367181939,0.00504533653698032,0.418018717592144,-2.41777510256123
"CCDC81",0.187025245277578,3.09805865764099,2.9472849974438,0.00506007844596715,0.418018717592144,-2.2325223017993
"LOC101060498",0.146741176088214,1.311219036759,2.94620200448799,0.00507491984332302,0.418018717592144,-2.14631912260864
"PRDX5",0.0835054634455986,9.05284741998924,2.94474803547805,0.00509490905655148,0.418018717592144,-2.50282196327133
"ZC2HC1C",0.109182703583564,2.46066296200992,2.94323769529097,0.00511575110897732,0.418018717592144,-2.20247826646951
"RAG2",0.203719449043419,-0.946349269189454,2.94173588131023,0.00513655442880701,0.418018717592144,-2.14536751636775
"TINAGL1",-0.0640151787944086,3.91250000460973,-2.93940777069302,0.00516895991892173,0.418018717592144,-2.295936681676
"DNALI1",0.157297928266653,5.8079468523032,2.93758551238536,0.00519445740444292,0.418018717592144,-2.42644650603285
"WDR54",0.151301481477444,5.55518585746404,2.93734881742852,0.00519777790159984,0.418018717592144,-2.41288605772
"WDR34",0.092352441564758,6.63212001907061,2.93641821626828,0.00521085214663395,0.418018717592144,-2.46782660529063
"PHACTR3",0.140392567192454,-0.308282731650897,2.9353357326328,0.00522609884893507,0.418018717592144,-2.1479624408986
"MROH9",0.175667954363188,0.711699079728693,2.93471985781232,0.00523479197653599,0.418018717592144,-2.15559515927771
"CALHM3",-0.172752719034171,-2.66048102942153,-2.93312633749145,0.00525734734051428,0.418018717592144,-2.23426565291594
"RPL7",0.0352096063036504,7.92204694811144,2.92902854279233,0.00531576649766258,0.418018717592144,-2.52429907096281
"SPIN4",-0.0596400469354901,3.91940561679457,-2.92661071932039,0.00535051915589316,0.418018717592144,-2.32401607119589
"RPS3A",0.0378794127373824,8.09859787810435,2.92592465468665,0.00536041886934507,0.418018717592144,-2.53393947225583
"TTC7B",0.0639425633558758,2.65154872966125,2.92542107940954,0.00536769618722959,0.418018717592144,-2.25349993810119
"LRRC18",0.162349000440136,2.21896032143218,2.92506492195202,0.0053728486897418,0.418018717592144,-2.23346581350896
"SNTN",0.200408557131079,5.57218157609647,2.92473325240204,0.00537765107666669,0.418018717592144,-2.44549161797606
"C9orf9",0.128742028515895,3.89045345492064,2.92191700760863,0.00541859036928342,0.418018717592144,-2.34373074369415
"DANCR",0.0544404565712594,5.52775072316504,2.92092593601732,0.00543306644209288,0.418018717592144,-2.45325225610506
"CD99",0.0408561490319773,3.11921661839111,2.91819995670773,0.00547306969900287,0.418018717592144,-2.41160967784283
"BDH2",0.0527853614430826,4.66159661061576,2.91745428060341,0.00548406011508258,0.418018717592144,-2.40479160854084
"LRRC36",0.191217969244331,0.603350858211432,2.91584893634894,0.00550779094954475,0.418018717592144,-2.19748438430738
